introductory_headings,unsuccessful,successful,ambiguous_outcome,country,dob,sexual_orientation_case,gender_identity_case,unknown_sogi_case,female_claimant,male_claimant,nonbinary_claimant
DETERMINATION AND REASONS,I uphold the decision to dismiss the Appellant's appeal,The appeal is allowed,I set aside that decision and remit the appeal for a hearing de novo before a different judge of the First-tier Tribunal.,"The Appellant, a citizen of",born on,sexual orientation,gender identity,lgbt,,,
DECISION AND REASONS,Appellant's appeal dismissed,appeal is allowed in its entirety from the determination of the Adjudicator,we allow the appeal to the extent that we direct that it be heard again by an Adjudicator other than,citizen of the,The claimant was born on,lesbian,transgender,,,,
The appellant,The decision of the First-tier Tribunal did not involve the making of an error of law and we uphold it,The Appellantâs appeal against the Respondentâs decision is allowed.,"This appeal is also remitted for consideration afresh, by an Adjudicator other than",is a citizen of,The Appellant was born on,\bgay\b,,,,,
INTRODUCTION,I uphold the decision to dismiss the Appellant's appeal,"By agreement of the parties, we substitute a determination allowing this appeal",The matter is therefore remitted to the First-tier Tribunal in order for it to be determined afresh.,The Appellant (who is a national of,whose date of birth is given as,bisexual,,,,,
DECISION ON APPEAL,The appeal is dismissed.,both aspects of the appeal are allowed,we remit this appeal to the First-tier Tribunal for a de novo rehearing before a Judge other than Judge,to return to,,homosexual,,,,,
Background,I do not set aside the decision. The decision to dismiss the appeal stands.,We allow the refugee appeal,necessary for the decision to be remade is such that it is appropriate to remit the case to the First-tier Tribunal,The Appellant is a citizen of,,,,,,,
REASONS FOR FINDING ERROR OF LAW,The decision of the First-tier Tribunal did not involve the making of an error of law and I uphold it.,We allow the human rights appeal,,"The Appellant, who is a national of",,,,,,,
THE APPELLANTSâ CASE HISTORIES,The appeal is therefore dismissed,I remake the decision allowing the appeal,,The Appellants are both citizens of,,,,,,,
,Accordingly this appeal is dismissed,It follows therefore that I allow this appeal.,,", national of",,,,,,,
,It follows that we must dismiss the appeal,I allow his appeal.,,The Appellant is a national of,,,,,,,
,we consider that this appeal must be dismissed,,,The Respondent is a national of,,,,,,,
,We have decided to dismiss the appeal,,,"This is an appeal by the appellant, a citizen of",,,,,,,
,The Appellant's appeal is dismissed,,,and is from,,,,,,,
,The determination of the Immigration Judge does not contain a material error of law and we accordingly order that it shall stand,,,,,,,,,,
,"In all the circumstances the appellantâs appeal in respect of asylum, humanitarian protection and human rights is dismissed",,,,,,,,,,
,For the reasons given the appellantâs appeal remains dismissed,,,,,,,,,,
,The decision we substitute is to dismiss the appellantâs appeal ,,,,,,,,,,
," we order that his determination, dismissing this appeal, shall stand.",,,,,,,,,,
,we substitute a decision dismissing the appeal on human rights grounds,,,,,,,,,,
,"For the foregoing reasons, we order that the Adjudicatorâs determination shall stand",,,,,,,,,,
,The making of the previous decision did not involve the making of a material error on a point of law and stands unchanged,,,,,,,,,,
,I dismiss the Appellant's appeal.,,,,,,,,,,
,"It follows from this that the judge was entitled to dismiss the appeal on asylum grounds, and his reasons, while succinct, are adequate and sustainable",,,,,,,,,,
,The determination of the First-tier Tribunal shall stand,,,,,,,,,,
,accordingly we dismiss the appeal to the Upper Tribunal,,,,,,,,,,
,We re-make the decision in the appeal by dismissing it on refugee grounds.,,,,,,,,,,
